link,category,title,abstract,keywords,ccs_concepts,author_names,author_affiliations,author_countries
https://openreview.net/forum?id=gE7qZurGH3,Fairness & Bias,Navigating Complexity: Toward Lossless Graph Condensation via Expanding Window Matching,"Graph condensation aims to reduce the size of a large-scale graph dataset by synthesizing a compact counterpart without sacrificing the performance of Graph Neural Networks (GNNs) trained on it, which has shed light on reducing the computational cost for training GNNs. Nevertheless, existing methods often fall short of accurately replicating the original graph for certain datasets, thereby failing to achieve the objective of lossless condensation. To understand this phenomenon, we investigate the potential reasons and reveal that the previous state-of-the-art trajectory matching method provides biased and restricted supervision signals from the original graph when optimizing the condensed one. This significantly limits both the scale and efficacy of the condensed graph. In this paper, we make the first attempt toward *lossless graph condensation* by bridging the previously neglected supervision signals. Specifically, we employ a curriculum learning strategy to train expert trajectories with more diverse supervision signals from the original graph, and then effectively transfer the information into the condensed graph with expanding window matching. Moreover, we design a loss function to further extract knowledge from the expert trajectories. Theoretical analysis justifies the design of our method and extensive experiments verify its superiority across different datasets. Code is released at https://github.com/NUS-HPC-AI-Lab/GEOM.",[],,"['Yuchen Zhang', 'Tianle Zhang', 'Kai Wang', 'Ziyao Guo', 'Yuxuan Liang', 'Xavier Bresson', 'Wei Jin', 'Yang You']","['Shanghai Artificial Intelligence Laboratory', 'NTU, Nanyang Technological University', 'soc, national university of singaore, National University of Singapore', 'School of Computing, national university of singaore, National University of Singapore', 'INTR & DSA, The Hong Kong University of Science and Technology (Guangzhou)', 'National University of Singapore', 'Emory University', 'Computer Science, National University of Singapore']",
https://openreview.net/forum?id=Ln3moCobjO,Fairness & Bias,Relaxing the Accurate Imputation Assumption in Doubly Robust Learning for Debiased Collaborative Filtering,"Recommender system aims to recommend items or information that may interest users based on their behaviors and preferences. However, there may be sampling selection bias in the data collection process, i.e., the collected data is not a representative of the target population. Many debiasing methods are developed based on pseudo-labelings. Nevertheless, the validity of these methods relies heavily on accurate pseudo-labelings (i.e., the imputed labels), which is difficult to satisfy in practice. In this paper, we theoretically propose several novel doubly robust estimators that are unbiased when either (a) the pseudo-labelings deviate from the true labels with an arbitrary user-specific inductive bias, item-specific inductive bias, or a combination of both, or (b) the learned propensities are accurate. We further propose a propensity reconstruction learning approach that adaptively updates the constraint weights using an attention mechanism and effectively controls the variance. Extensive experiments show that our approach outperforms the state-of-the-art on one semi-synthetic and three real-world datasets.",[],,"['Haoxuan Li', 'Chunyuan Zheng', 'Shuyi Wang', 'Kunhan Wu', 'Eric Wang', 'Peng Wu', 'Zhi Geng', 'Xu Chen', 'Xiao-Hua Zhou']","['Center for Data Science, Peking University', 'meituan', 'University of Pennsylvania, University of Pennsylvania', 'Carnegie Mellon University', '', 'Beijing Technology and Business University', 'School of Matematics asn Statistics, Beijing Technology and Business University', 'AI, Renmin University of China', 'School of mathematical Science, Peking University, Peking University']",
https://openreview.net/forum?id=2dlmcTXfcY,Fairness & Bias,Kernel-Based Evaluation of Conditional Biological Sequence Models,"We propose a set of kernel-based tools to evaluate the designs and tune the hyperparameters of conditional sequence models, with a focus on problems in computational biology. The backbone of our tools is a new measure of discrepancy between the true conditional distribution and the model's estimate, called the Augmented Conditional Maximum Mean Discrepancy (ACMMD). Provided that the model can be sampled from, the ACMMD can be estimated unbiasedly from data to quantify absolute model fit, integrated within hypothesis tests, and used to evaluate model reliability. We demonstrate the utility of our approach by analyzing a popular protein design model, ProteinMPNN. We are able to reject the hypothesis that ProteinMPNN fits its data for various protein families, and tune the model's temperature hyperparameter to achieve a better fit.",[],,"['Pierre Glaser', 'Steffanie Paul', 'Alissa M Hummer', 'Charlotte Deane', 'Debora Susan Marks', 'Alan Nawzad Amin']","['Gatsby Computational Neuroscience Unit, University College London', 'Harvard University', 'University of Oxford', 'Department of Statistics, University of Oxford', 'Harvard University', 'New York University']",
https://openreview.net/forum?id=gPStP3FSY9,Fairness & Bias,Discovering Environments with XRM,"Environment annotations are essential for the success of many out-of-distribution (OOD) generalization methods. Unfortunately, these are costly to obtain and often limited by human annotators' biases. To achieve robust generalization, it is essential to develop algorithms for automatic environment discovery within datasets. Current proposals, which divide examples based on their training error, suffer from one fundamental problem. These methods introduce hyper-parameters and early-stopping criteria, which require a validation set with human-annotated environments, the very information subject to discovery. In this paper, we propose Cross-Risk Minimization (XRM) to address this issue. XRM trains twin networks, each learning from one random half of the training data, while imitating confident held-out mistakes made by its sibling. XRM provides a recipe for hyper-parameter tuning, does not require early-stopping, and can discover environments for all training and validation data. Algorithms built on top of XRM environments achieve oracle worst-group-accuracy, addressing a long-standing challenge in OOD generalization.",[],,"['Mohammad Pezeshki', 'Diane Bouchacourt', 'Mark Ibrahim', 'Nicolas Ballas', 'Pascal Vincent', 'David Lopez-Paz']","['Facebook', 'Facebook AI Research', 'Facebook AI Research (FAIR) Meta', 'Meta', 'University of Montreal', 'Facebook']",
https://openreview.net/forum?id=GHZVjmaGQM,Transparency & Explainability,Hybrid$^2$ Neural ODE Causal Modeling and an Application to Glycemic Response,"Hybrid models composing mechanistic ODE-based dynamics with flexible and expressive neural network components have grown rapidly in popularity, especially in scientific domains where such ODE-based modeling offers important interpretability and validated causal grounding (e.g., for counterfactual reasoning). The incorporation of mechanistic models also provides inductive bias in standard blackbox modeling approaches, critical when learning from small datasets or partially observed, complex systems. Unfortunately, as the hybrid models become more flexible, the causal grounding provided by the mechanistic model can quickly be lost. We address this problem by leveraging another common source of domain knowledge: *ranking* of treatment effects for a set of interventions, even if the precise treatment effect is unknown. We encode this information in a *causal loss* that we combine with the standard predictive loss to arrive at a *hybrid loss* that biases our learning towards causally valid hybrid models. We demonstrate our ability to achieve a win-win, state-of-the-art predictive performance *and* causal validity, in the challenging task of modeling glucose dynamics post-exercise in individuals with type 1 diabetes.",[],,"['Bob Junyi Zou', 'Matthew E Levine', 'Dessi P. Zaharieva', 'Ramesh Johari', 'Emily Fox']","['ICME, Stanford University', 'California Institute of Technology', 'Pediatrics, Stanford University', 'Management Science and Engineering, Stanford University', 'Inistro Inc.']",
https://openreview.net/forum?id=XsDWw1Mn2p,Transparency & Explainability,How Learning by Reconstruction Produces Uninformative Features For Perception,"Input space reconstruction is an attractive representation learning paradigm. Despite interpretability benefit of reconstruction and generation, we identify a misalignment between learning to reconstruct, and learning for perception. We show that the former allocates a model's capacity towards a subspace of the data explaining the observed variance--a subspace with uninformative features for the latter. For example, the supervised TinyImagenet task with images projected onto the top subspace explaining 90% of the pixel variance can be solved with 45% test accuracy. Using the bottom subspace instead, accounting for only 20% of the pixel variance, reaches 55% test accuracy. Learning by reconstruction is also wasteful as the features for perception are learned last, pushing the need for long training schedules. We finally prove that learning by denoising can alleviate that misalignment for some noise strategies, e.g., masking. While tuning the noise strategy without knowledge of the perception task seems challenging, we provide a solution to detect if a noise strategy is never beneficial regardless of the perception task, e.g., additive Gaussian noise.",[],,"['Randall Balestriero', 'Yann LeCun']","['Computer Science, Brown University', 'Facebook']",
https://openreview.net/forum?id=jTn4AIOgpM,Fairness & Bias,Sparse Inducing Points in Deep Gaussian Processes: Enhancing Modeling with Denoising Diffusion Variational Inference,"Deep Gaussian processes (DGPs) provide a robust paradigm in Bayesian deep learning. In DGPs, a set of sparse integration locations called inducing points are selected to approximate the posterior distribution of the model. This is done to reduce computational complexity and improve model efficiency. However, inferring the posterior distribution of inducing points is not straightforward. Traditional variational inference techniques methods to approximate the posterior often leads to significant bias. To address this issue, we propose an alternative named Denoising Diffusion Variational Inference (DDVI) that utilizes a denoising diffusion stochastic differential equation (SDE) for generating posterior samples of inducing variables. We refer to the score matching method in the denoising diffusion model to approximate challenging score functions using a neural network. Furthermore, by combining classical mathematical theory of SDE with the minimization of KL divergence between the approximate and true processes, we propose a novel explicit variational lower bound for the marginal likelihood function of DGP. Through extensive experiments on various datasets and comparisons with baseline methods, we empirically demonstrate the effectiveness of the DDVI method in posterior inference of inducing points for DGP models.",[],,"['JIAN XU', 'Delu Zeng', 'John Paisley']","['South China University of Technology', 'School  of Electronics and Information Processing, South China University of Technology', 'Columbia University']",
https://openreview.net/forum?id=s4EYBJ30WY,Fairness & Bias,"Balanced Data, Imbalanced Spectra: Unveiling Class Disparities with Spectral Imbalance","Classification models are expected to perform equally well for different classes, yet in practice, there are often large gaps in their performance. This issue of class bias is widely studied in cases of datasets with sample imbalance, but is relatively overlooked in balanced datasets. In this work, we introduce the concept of spectral imbalance in features as a potential source for class disparities and study the connections between spectral imbalance and class bias in both theory and practice. To build the connection between spectral imbalance and class gap, we develop a theoretical framework for studying class disparities and derive exact expressions for the per-class error in a high-dimensional mixture model setting. We then study this phenomenon in 11 different state-of-the-art pre-trained encoders, and show how our proposed framework can be used to compare the quality of encoders, as well as evaluate and combine data augmentation strategies to mitigate the issue. Our work sheds light on the class-dependent effects of learning, and provides new insights into how state-of-the-art pre-trained features may have unknown biases that can be diagnosed through their spectra.",[],,"['Chiraag Kaushik', 'Ran Liu', 'Chi-Heng Lin', 'Amrit Khera', 'Matthew Y Jin', 'Wenrui Ma', 'Vidya Muthukumar', 'Eva L Dyer']","['Georgia Institute of Technology', 'Apple', 'Samsung Research America', 'Georgia Institute of Technology', 'Georgia Institute of Technology', 'Georgia Institute of Technology', 'Georgia Institute of Technology', 'Machine Learning, Georgia Institute of Technology']",
https://openreview.net/forum?id=jU6iPouOZ6,Transparency & Explainability,From Vision to Audio and Beyond: A Unified Model for Audio-Visual Representation and Generation,"Video encompasses both visual and auditory data, creating a perceptually rich experience where these two modalities complement each other. As such, videos are a valuable type of media for the investigation of the interplay between audio and visual elements. Previous studies of audio-visual modalities primarily focused on either audio-visual representation learning or generative modeling of a modality conditioned on the other, creating a disconnect between these two branches. A unified framework that learns representation and generates modalities has not been developed yet. In this work, we introduce a novel framework called Vision to Audio and Beyond (VAB) to bridge the gap between audio-visual representation learning and vision-to-audio generation. The key approach of VAB is that rather than working with raw video frames and audio data, VAB performs representation learning and generative modeling within latent spaces. In particular, VAB uses a pre-trained audio tokenizer and an image encoder to obtain audio tokens and visual features, respectively. It then performs the pre-training task of visual-conditioned masked audio token prediction. This training strategy enables the model to engage in contextual learning and simultaneous video-to-audio generation. After the pre-training phase, VAB employs the iterative-decoding approach to rapidly generate audio tokens conditioned on visual features. Since VAB is a unified model, its backbone can be fine-tuned for various audio-visual downstream tasks. Our experiments showcase the efficiency of VAB in producing high-quality audio from video, and its capability to acquire semantic audio-visual features, leading to competitive results in audio-visual retrieval and classification.",[],,"['Kun Su', 'Xiulong Liu', 'Eli Shlizerman']","['Google', 'University of Washington, Seattle', 'Electrical and computer engineering , University of Washington']",
https://openreview.net/forum?id=upO8FUwf92,Transparency & Explainability,Towards Compositionality in Concept Learning,"Concept-based interpretability methods offer a lens into the internals of foundation models by decomposing their embeddings into high-level concepts. These concept representations are most useful when they are *compositional*, meaning that the individual concepts compose to explain the full sample. We show that existing unsupervised concept extraction methods find concepts which are not compositional. To automatically discover compositional concept representations, we identify two salient properties of such representations, and propose Compositional Concept Extraction (CCE) for finding concepts which obey these properties. We evaluate CCE on five different datasets over image and text data. Our evaluation shows that CCE finds more compositional concept representations than baselines and yields better accuracy on four downstream classification tasks.",[],,"['Adam Stein', 'Aaditya Naik', 'Yinjun Wu', 'Mayur Naik', 'Eric Wong']","['University of Pennsylvania, University of Pennsylvania', 'University of Pennsylvania', 'Department of Computer and information science, Peking University', 'University of Pennsylvania', 'University of Pennsylvania']",
